Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material Involved,Movement Type,History
33578,UK/PIT/62B04/2018/65,Uttarakhand,Chamoli,,Sama-Tejam-Munsyari,30.274115,79.562904,Rock,Slide,2016
33581,UK/CHA/53N03/2015/702,Uttarakhand,Chamoli,,,30.274667,79.221028,Rock,Slide,
33582,UK/CHA/53N03/2015/699,Uttarakhand,Chamoli,,,30.274917,79.223583,Rock,Slide,
33583,UK/CHA/53N03/2015/807,Uttarakhand,Chamoli,,Tiwara-Pokhri road,30.275056,79.223444,Rock,Slide,
33584,UK/CHA/53N03/2015/808,Uttarakhand,Chamoli,,Tiwara-Pokhri road,30.275361,79.222444,Rock,Slide,
33587,UK/CHA/53N03/2015/703,Uttarakhand,Chamoli,,,30.27572,79.222426,Rock,Slide,
33589,UK/CHA/53N03/2015/810,Uttarakhand,Chamoli,,Tiwara-Pokhri road,30.276111,79.219278,Rock,Slide,
33592,UK/CHA/53N03/2015/675,Uttarakhand,Chamoli,,National Highway-58,30.276556,79.238444,Debris,Slide,
33593,UK/CHA/62B04/2018/1,Uttarakhand,Chamoli,,Joshimat-Tapowan,30.276946,79.575409,Debris,Slide,2014
33594,UK/CHA/53N03/2015/650,Uttarakhand,Chamoli,,National Highway-58,30.277028,79.1655,Rock,Slide,
33595,UK/CHA/53N03/2015/711,Uttarakhand,Chamoli,,,30.277389,79.220306,Rock,Slide,
33596,UK/CHA/53N03/2015/653,Uttarakhand,Chamoli,,,30.2775,79.162917,Rock,Slide,
33597,UK/CHA/53N03/2015/839,Uttarakhand,Chamoli,,,30.277944,79.230306,Rock,Slide,
33598,UK/PIT/62B04/2018/67,Uttarakhand,Chamoli,,Joshimat-Tapowan,30.278021,79.575787,Debris,Slide,
33599,UK/CHA/53N03/2015/652,Uttarakhand,Chamoli,,National Highway-58,30.278169,79.165071,Rock,Slide,
33600,UK/CHA/53N03/2015/649,Uttarakhand,Chamoli,,National Highway-58,30.278175,79.166464,Debris,Slide,
33601,UK/PIT/62B04/2018/66,Uttarakhand,Chamoli,,Sama-Tejam-Munsyari,30.278384,79.543796,Rock cum debris,Slide,
33602,UK/CHA/53N03/2015/710,Uttarakhand,Chamoli,,,30.278444,79.220333,Rock,Slide,
33603,UK/CHA/53N03/2015/712,Uttarakhand,Chamoli,,,30.278833,79.223278,Rock,Slide,
33605,UK/CHA/53N03/2015/651,Uttarakhand,Chamoli,,National Highway-58,30.279167,79.165917,Rock,Slide,
33606,UK/CHA/53N07/2015/1227,Uttarakhand,Chamoli,,,30.279362,79.395891,Rock,Slide,
33608,UK/CHA/53N03/2015/713,Uttarakhand,Chamoli,,,30.280318,79.226101,Rock,Slide,
33609,UK/CHA/53N11/2018/4,Uttarakhand,Chamoli,,Joshimat-Tapowan,30.280461,79.598229,Rock,Fall,2016
33611,UK/CHA/53N03/2015/732,Uttarakhand,Chamoli,,,30.280722,79.216472,Rock,Slide,
33613,UK/CHA/53N03/2015/714,Uttarakhand,Chamoli,,,30.280972,79.226222,Rock,Slide,
33616,UK/CHA/53N03/2015/730,Uttarakhand,Chamoli,,,30.281278,79.219139,Rock,Slide,
33617,UK/CHA/53N11/2018/1,Uttarakhand,Chamoli,Bahauk-Gulari,Joshimat-Tapowan,30.281306,79.50303,Rock cum debris,Slide,
33619,UK/CHA/53N03/2015/715,Uttarakhand,Chamoli,,,30.281722,79.225056,Rock,Slide,
33620,UK/CHA/53N03/2015/811,Uttarakhand,Chamoli,,Tiwara-Pokhri road,30.281917,79.21425,Rock,Slide,
33621,UK/CHA/53N03/2015/840,Uttarakhand,Chamoli,,,30.281944,79.232944,Debris,Slide,
33623,UK/CHA/53N03/2015/733,Uttarakhand,Chamoli,,,30.282722,79.212444,Rock,Slide,
33626,UK/CHA/53N03/2015/716,Uttarakhand,Chamoli,,,30.283083,79.221083,Rock,Slide,
33627,UK/CHA/53N03/2015/717,Uttarakhand,Chamoli,,,30.283278,79.218556,Rock,Slide,
33628,UK/CHA/53N03/2015/647,Uttarakhand,Chamoli,,,30.283528,79.144222,Rock,Slide,
33629,UK/CHA/53N03/2015/728,Uttarakhand,Chamoli,,,30.283611,79.211167,Rock,Slide,
33630,UK/CHA/53N03/2015/645,Uttarakhand,Chamoli,,,30.283722,79.153472,Rock,Slide,
33631,UK/CHA/53N03/2015/718,Uttarakhand,Chamoli,,,30.28375,79.214361,Rock,Slide,
33632,UK/CHA/53N11/2018/5,Uttarakhand,Chamoli,,Joshimat-Tapowan,30.283844,79.597798,Rock cum debris,Slide,
33633,UK/CHA/53N03/2015/729,Uttarakhand,Chamoli,,,30.284,79.213028,Debris,Slide,
